data,receita,mkt,tech,adm,juros,ativo,fcl
30/03/01,17057,-6653,-5474,-1514,-181,-954,-6892
30/06/01,18359,-4090,-4896,-1031,-96,-685,-1795
30/09/01,18878,-3444,-4463,-1003,-505,-1029,-1985
30/12/01,21618,-6844,-2901,-1110,-609,-565,2849
31/03/02,30527,-7938,-3181,-1309,-528,-95,707
30/06/02,36360,-8054,-3518,-1638,-11162,-749,4648
30/09/02,40731,-9299,-3966,-1870,-131,-719,5774
31/12/02,45188,-10492,-3960,-1920,-151,-1188,4706
31/03/03,55669,-13207,-4183,-2248,-191,-561,5452
30/06/03,63187,-9957,-4123,-2093,-95,-2400,4329
30/09/03,72202,-12183,-4738,-2678,-87,-1596,7858
31/12/03,81185,-14602,-4840,-2566,-44,-4315,9155
31/03/04,100370,-26693,-5039,-3136,-31,-1808,8950
30/06/04,120321,-20477,-5652,-3280,-30,-2048,6278
30/09/04,141644,-22525,-6325,-4122,-52,-4165,14141
31/12/04,143893,-28332,-5890,-5749,-57,-6941,5394
31/03/05,154140,-35803,-7155,-5007,-1051,-6845,-8925
30/06/05,164497,-26338,-7513,-4898,-3,-5931,1837
30/09/05,174317,-32867,-8006,-5520,-13,-5429,7026
31/12/05,195040,-46989,-8268,-6815,-353,-12414,24321
31/03/06,224126,-52968,-11206,-8292,0,-6686,11652
30/06/06,239351,-47031,-12043,-6773,0,-3892,5507
30/09/06,255950,-59367,-11929,-9948,0,-5231,22340
31/12/06,277233,-66158,-13201,-11142,0,-11524,22471
31/03/07,305320,-72138,-15715,-12188,-298,-18013,-18002
30/06/07,303693,-45255,-18907,-13847,-299,-8968,6453
30/09/07,293972,-49166,-18216,-12895,-296,-7412,36076
31/12/07,302355,-51704,-18453,-13570,-295,-9863,21091
31/03/08,326183,-54895,-20267,-13739,-423,-12431,4830
30/06/08,337614,-39984,-22186,-13419,-681,-14662,12707
30/09/08,341269,-49217,-23368,-11742,-677,-9226,26169
31/12/08,359595,-55617,-24052,-10762,-677,-7471,50997
31/03/09,394098,-62242,-24200,-13014,-670,-6572,15086
30/06/09,408509,-46231,-27119,-13252,-674,-6933,26315
30/09/09,423120,-58556,-30014,-11543,-674,-9994,25523
31/12/09,444542,-70715,-33209,-13524,-4457,-22433,30198
31/03/10,493665,-75219,-37399,-17193,-4959,-6393,37592
30/06/10,519819,-74533,-37863,-17119,-4893,-5671,34215
30/09/10,553219,-81238,-42108,-17135,-4945,-7342,7767
31/12/10,595922,-62849,-45959,-19108,-4832,-14431,51433
31/03/11,718553,-99595,-50905,-27662,-4865,-16320,79303
30/06/11,788610,-90606,-57865,-35047,-5303,-8626,59545
30/09/11,821839,-83421,-69480,-35479,-4915,-14080,13781
31/12/11,875575,-107647,-80783,-41118,-4942,-10656,33921
31/03/12,869791,-129928,-82801,-35064,-4974,-4766,2149
30/06/12,889163,-113964,-81547,-34070,-5006,-3359,11168
30/09/12,905089,-108448,-82521,-35347,-4990,-10808,-20462
31/12/12,945239,-113060,-82139,-34535,-5016,-21345,-51006
31/03/13,1023961,-129175,-91975,-44126,-6740,-12118,-41511
30/06/13,1069372,-121760,-93126,-43844,-7528,-8088,12919
30/09/13,1105999,-116109,-95540,-46211,-7436,-10828,7065
31/12/13,1175230,-136845,-98128,-46120,-7438,-23109,5227
31/03/14,1270089,-137098,-110310,-55900,-10052,-13334,8406
30/06/14,1340407,-120763,-115182,-60014,-13328,-19869,16303
30/09/14,1409432,-145654,-120953,-78024,-13486,-21032,-73660
31/12/14,1484728,-203671,-125876,-75803,-13353,-15491,-77748
31/03/15,1573129,-194677,-143106,-91489,-26737,-13036,-163099
30/06/15,1644694,-197140,-155061,-95906,-35217,-27538,-229305
